file,true_mod,snr_db,hypothesis,correct,carrier_lock,measured_ber,decodes,status,other_failed
16qam_15dB_5022,16qam,15.0,qpsk,False,0.2793,0.483125,False,low_confidence,
16qam_15dB_5022,16qam,15.0,8psk,False,0.0151,0.483654,False,low_confidence,output_usable
16qam_15dB_5022,16qam,15.0,16qam,True,0.9193,0.0,True,ok,
16qam_15dB_6022,16qam,15.0,bpsk,False,0.0139,0.478148,False,low_confidence,output_usable
16qam_15dB_6022,16qam,15.0,qpsk,False,0.2909,0.48515,False,low_confidence,
16qam_15dB_6022,16qam,15.0,8psk,False,0.0374,0.482594,False,low_confidence,output_usable
16qam_15dB_6022,16qam,15.0,16qam,True,0.9422,0.0,True,ok,
16qam_15dB_7022,16qam,15.0,bpsk,False,0.027,0.473619,False,low_confidence,output_usable
16qam_15dB_7022,16qam,15.0,qpsk,False,0.2812,0.482751,False,low_confidence,
16qam_15dB_7022,16qam,15.0,8psk,False,0.01,0.481969,False,low_confidence,output_usable
16qam_15dB_7022,16qam,15.0,16qam,True,0.9411,0.0,True,ok,
16qam_15dB_8022,16qam,15.0,bpsk,False,0.0172,0.476675,False,low_confidence,output_usable
16qam_15dB_8022,16qam,15.0,qpsk,False,0.2886,0.48396,False,low_confidence,
16qam_15dB_8022,16qam,15.0,8psk,False,0.0431,0.481487,False,low_confidence,output_usable
16qam_15dB_8022,16qam,15.0,16qam,True,0.9759,0.0,True,ok,
16qam_20dB_2023,16qam,20.0,bpsk,False,0.0229,0.475299,False,low_confidence,output_usable
16qam_20dB_2023,16qam,20.0,qpsk,False,0.3231,0.482236,False,low_confidence,
16qam_20dB_2023,16qam,20.0,8psk,False,0.0195,0.482966,False,low_confidence,output_usable
16qam_20dB_2023,16qam,20.0,16qam,True,0.9338,0.0,True,ok,
16qam_20dB_3023,16qam,20.0,bpsk,False,0.024,0.479639,False,low_confidence,output_usable
16qam_20dB_3023,16qam,20.0,qpsk,False,0.3239,0.483362,False,low_confidence,
16qam_20dB_3023,16qam,20.0,8psk,False,0.0203,0.485268,False,low_confidence,output_usable
16qam_20dB_3023,16qam,20.0,16qam,True,0.9333,0.0,True,ok,
16qam_20dB_4023,16qam,20.0,bpsk,False,0.017,0.478741,False,low_confidence,output_usable
16qam_20dB_4023,16qam,20.0,qpsk,False,0.3082,0.483986,False,low_confidence,
16qam_20dB_4023,16qam,20.0,8psk,False,0.0336,0.484669,False,low_confidence,output_usable
16qam_20dB_4023,16qam,20.0,16qam,True,0.9926,0.0,True,ok,
16qam_20dB_5023,16qam,20.0,bpsk,False,0.0167,0.478339,False,low_confidence,output_usable
16qam_20dB_5023,16qam,20.0,qpsk,False,0.3039,0.48336,False,low_confidence,
16qam_20dB_5023,16qam,20.0,8psk,False,0.0172,0.483213,False,low_confidence,output_usable
16qam_20dB_5023,16qam,20.0,16qam,True,0.9504,0.0,True,ok,
16qam_20dB_6023,16qam,20.0,bpsk,False,0.0388,0.476212,False,low_confidence,output_usable
16qam_20dB_6023,16qam,20.0,qpsk,False,0.3282,0.484518,False,low_confidence,
16qam_20dB_6023,16qam,20.0,8psk,False,0.0216,0.485043,False,low_confidence,output_usable
16qam_20dB_6023,16qam,20.0,16qam,True,0.9924,0.0,True,ok,
16qam_20dB_7023,16qam,20.0,bpsk,False,0.0024,0.478438,False,low_confidence,output_usable
16qam_20dB_7023,16qam,20.0,qpsk,False,0.3254,0.482727,False,low_confidence,
16qam_20dB_7023,16qam,20.0,8psk,False,0.0301,0.485209,False,low_confidence,output_usable
16qam_20dB_7023,16qam,20.0,16qam,True,0.9925,0.0,True,ok,
16qam_20dB_8023,16qam,20.0,bpsk,False,0.0116,0.478948,False,low_confidence,output_usable
16qam_20dB_8023,16qam,20.0,qpsk,False,0.3207,0.485043,False,low_confidence,
16qam_20dB_8023,16qam,20.0,8psk,False,0.0082,0.483604,False,low_confidence,output_usable
16qam_20dB_8023,16qam,20.0,16qam,True,0.9927,0.0,True,ok,
16qam_4dB_2018,16qam,4.0,bpsk,False,0.005,0.47655,False,low_confidence,output_usable
16qam_4dB_2018,16qam,4.0,qpsk,False,0.0192,0.484273,False,low_confidence,output_usable
16qam_4dB_2018,16qam,4.0,8psk,False,0.0066,0.484774,False,low_confidence,output_usable
16qam_4dB_2018,16qam,4.0,16qam,True,0.3291,0.08422,False,low_confidence,
16qam_4dB_3018,16qam,4.0,bpsk,False,0.0283,0.477378,False,low_confidence,output_usable
16qam_4dB_3018,16qam,4.0,qpsk,False,0.0115,0.484599,False,low_confidence,output_usable
16qam_4dB_3018,16qam,4.0,8psk,False,0.0303,0.484162,False,low_confidence,output_usable
16qam_4dB_3018,16qam,4.0,16qam,True,0.2963,0.362821,False,low_confidence,output_usable
16qam_4dB_4018,16qam,4.0,bpsk,False,0.0057,0.477342,False,low_confidence,output_usable
16qam_4dB_4018,16qam,4.0,qpsk,False,0.0264,0.483105,False,low_confidence,output_usable
16qam_4dB_4018,16qam,4.0,8psk,False,0.0063,0.483487,False,low_confidence,output_usable
16qam_4dB_4018,16qam,4.0,16qam,True,0.0527,0.34205,False,low_confidence,output_usable
16qam_4dB_5018,16qam,4.0,bpsk,False,0.011,0.478261,False,low_confidence,output_usable
16qam_4dB_5018,16qam,4.0,qpsk,False,0.0107,0.48323,False,low_confidence,output_usable
16qam_4dB_5018,16qam,4.0,8psk,False,0.0064,0.484,False,low_confidence,output_usable
16qam_4dB_5018,16qam,4.0,16qam,True,0.0586,0.391865,False,low_confidence,output_usable
16qam_4dB_6018,16qam,4.0,bpsk,False,0.0222,0.477829,False,low_confidence,output_usable
16qam_4dB_6018,16qam,4.0,qpsk,False,0.0641,0.484655,False,low_confidence,output_usable
16qam_4dB_6018,16qam,4.0,8psk,False,0.0046,0.483711,False,low_confidence,output_usable
16qam_4dB_6018,16qam,4.0,16qam,True,0.3031,0.161437,False,low_confidence,
16qam_4dB_7018,16qam,4.0,bpsk,False,0.012,0.474136,False,low_confidence,output_usable
16qam_4dB_7018,16qam,4.0,qpsk,False,0.0549,0.48464,False,low_confidence,output_usable
16qam_4dB_7018,16qam,4.0,8psk,False,0.0092,0.483546,False,low_confidence,output_usable
16qam_4dB_7018,16qam,4.0,16qam,True,0.2855,0.261327,False,low_confidence,
16qam_4dB_8018,16qam,4.0,bpsk,False,0.014,0.477652,False,low_confidence,output_usable
16qam_4dB_8018,16qam,4.0,qpsk,False,0.0369,0.483352,False,low_confidence,output_usable
16qam_4dB_8018,16qam,4.0,8psk,False,0.0126,0.482302,False,low_confidence,output_usable
16qam_4dB_8018,16qam,4.0,16qam,True,0.0337,0.305926,False,low_confidence,output_usable
16qam_8dB_2019,16qam,8.0,bpsk,False,0.0194,0.479423,False,low_confidence,output_usable
16qam_8dB_2019,16qam,8.0,qpsk,False,0.1708,0.484046,False,low_confidence,
16qam_8dB_2019,16qam,8.0,8psk,False,0.0165,0.482018,False,low_confidence,output_usable
16qam_8dB_2019,16qam,8.0,16qam,True,0.7193,0.012072,False,ok,
16qam_8dB_3019,16qam,8.0,bpsk,False,0.0034,0.47746,False,low_confidence,output_usable
16qam_8dB_3019,16qam,8.0,qpsk,False,0.1776,0.483844,False,low_confidence,
16qam_8dB_3019,16qam,8.0,8psk,False,0.0111,0.483994,False,low_confidence,output_usable
16qam_8dB_3019,16qam,8.0,16qam,True,0.7881,0.011691,False,ok,
16qam_8dB_4019,16qam,8.0,bpsk,False,0.0306,0.476949,False,low_confidence,output_usable
16qam_8dB_4019,16qam,8.0,qpsk,False,0.1079,0.484011,False,low_confidence,
16qam_8dB_4019,16qam,8.0,8psk,False,0.0093,0.48329,False,low_confidence,output_usable
16qam_8dB_4019,16qam,8.0,16qam,True,0.6961,0.012395,False,ok,
16qam_8dB_5019,16qam,8.0,bpsk,False,0.0216,0.477073,False,low_confidence,output_usable
16qam_8dB_5019,16qam,8.0,qpsk,False,0.1525,0.482776,False,low_confidence,
16qam_8dB_5019,16qam,8.0,8psk,False,0.0218,0.483347,False,low_confidence,output_usable
16qam_8dB_5019,16qam,8.0,16qam,True,0.6963,0.011938,False,ok,
16qam_8dB_6019,16qam,8.0,bpsk,False,0.0281,0.474368,False,low_confidence,output_usable
16qam_8dB_6019,16qam,8.0,qpsk,False,0.1774,0.485095,False,low_confidence,
16qam_8dB_6019,16qam,8.0,8psk,False,0.027,0.483348,False,low_confidence,output_usable
16qam_8dB_6019,16qam,8.0,16qam,True,0.7006,0.012288,False,ok,
16qam_8dB_7019,16qam,8.0,bpsk,False,0.0134,0.477524,False,low_confidence,output_usable
16qam_8dB_7019,16qam,8.0,qpsk,False,0.1539,0.484527,False,low_confidence,
16qam_8dB_7019,16qam,8.0,8psk,False,0.034,0.482594,False,low_confidence,output_usable
16qam_8dB_7019,16qam,8.0,16qam,True,0.6865,0.01244,False,ok,
16qam_8dB_8019,16qam,8.0,bpsk,False,0.0225,0.478403,False,low_confidence,output_usable
16qam_8dB_8019,16qam,8.0,qpsk,False,0.1433,0.483365,False,low_confidence,
16qam_8dB_8019,16qam,8.0,8psk,False,0.0083,0.48482,False,low_confidence,output_usable
16qam_8dB_8019,16qam,8.0,16qam,True,0.6805,0.011874,False,ok,
2fsk_10dB_2026,2fsk,10.0,bpsk,False,,1.0,False,failed,signal_present
2fsk_10dB_2026,2fsk,10.0,qpsk,False,,1.0,False,failed,signal_present
2fsk_10dB_2026,2fsk,10.0,8psk,False,,1.0,False,failed,signal_present
2fsk_10dB_2026,2fsk,10.0,16qam,False,,1.0,False,failed,signal_present
2fsk_10dB_3026,2fsk,10.0,bpsk,False,,1.0,False,failed,signal_present
2fsk_10dB_3026,2fsk,10.0,qpsk,False,,1.0,False,failed,signal_present
2fsk_10dB_3026,2fsk,10.0,8psk,False,,1.0,False,failed,signal_present
2fsk_10dB_3026,2fsk,10.0,16qam,False,,1.0,False,failed,signal_present
2fsk_10dB_4026,2fsk,10.0,bpsk,False,,1.0,False,failed,signal_present
2fsk_10dB_4026,2fsk,10.0,qpsk,False,,1.0,False,failed,signal_present
2fsk_10dB_4026,2fsk,10.0,8psk,False,,1.0,False,failed,signal_present
2fsk_10dB_4026,2fsk,10.0,16qam,False,,1.0,False,failed,signal_present
2fsk_10dB_5026,2fsk,10.0,bpsk,False,,1.0,False,failed,signal_present
2fsk_10dB_5026,2fsk,10.0,qpsk,False,,1.0,False,failed,signal_present
2fsk_10dB_5026,2fsk,10.0,8psk,False,,1.0,False,failed,signal_present
2fsk_10dB_5026,2fsk,10.0,16qam,False,,1.0,False,failed,signal_present
2fsk_10dB_6026,2fsk,10.0,bpsk,False,,1.0,False,failed,signal_present
2fsk_10dB_6026,2fsk,10.0,qpsk,False,,1.0,False,failed,signal_present
2fsk_10dB_6026,2fsk,10.0,8psk,False,,1.0,False,failed,signal_present
2fsk_10dB_6026,2fsk,10.0,16qam,False,,1.0,False,failed,signal_present
2fsk_10dB_7026,2fsk,10.0,bpsk,False,,1.0,False,failed,signal_present
2fsk_10dB_7026,2fsk,10.0,qpsk,False,,1.0,False,failed,signal_present
2fsk_10dB_7026,2fsk,10.0,8psk,False,,1.0,False,failed,signal_present
2fsk_10dB_7026,2fsk,10.0,16qam,False,,1.0,False,failed,signal_present
2fsk_10dB_8026,2fsk,10.0,bpsk,False,,1.0,False,failed,signal_present
2fsk_10dB_8026,2fsk,10.0,qpsk,False,,1.0,False,failed,signal_present
2fsk_10dB_8026,2fsk,10.0,8psk,False,,1.0,False,failed,signal_present
2fsk_10dB_8026,2fsk,10.0,16qam,False,,1.0,False,failed,signal_present
2fsk_13dB_2027,2fsk,13.0,bpsk,False,,1.0,False,failed,signal_present
2fsk_13dB_2027,2fsk,13.0,qpsk,False,,1.0,False,failed,signal_present
2fsk_13dB_2027,2fsk,13.0,8psk,False,,1.0,False,failed,signal_present
2fsk_13dB_2027,2fsk,13.0,16qam,False,,1.0,False,failed,signal_present
2fsk_13dB_3027,2fsk,13.0,bpsk,False,,1.0,False,failed,signal_present
2fsk_13dB_3027,2fsk,13.0,qpsk,False,,1.0,False,failed,signal_present
2fsk_13dB_3027,2fsk,13.0,8psk,False,,1.0,False,failed,signal_present
2fsk_13dB_3027,2fsk,13.0,16qam,False,,1.0,False,failed,signal_present
2fsk_13dB_4027,2fsk,13.0,bpsk,False,,1.0,False,failed,signal_present
2fsk_13dB_4027,2fsk,13.0,qpsk,False,,1.0,False,failed,signal_present
