file,scheme,snr_db,envelope_variance,std_over_mean
4fsk_4dB_8030.wav,4fsk,4,0.1420408427754453,0.37688306246824793
4fsk_8dB_2031.wav,4fsk,8,0.06952385811999678,0.263673772150354
4fsk_8dB_3031.wav,4fsk,8,0.07018086035636878,0.26491670456271493
4fsk_8dB_4031.wav,4fsk,8,0.07001732972206438,0.2646078791760827
4fsk_8dB_5031.wav,4fsk,8,0.06976045846316517,0.26412205220913526
4fsk_8dB_6031.wav,4fsk,8,0.06945565714343,0.26354441208917706
4fsk_8dB_7031.wav,4fsk,8,0.07046556868316378,0.2654535151079446
4fsk_8dB_8031.wav,4fsk,8,0.069814186924359,0.2642237440586273
8psk_10dB_2014.wav,8psk,10,0.10906357697228862,0.33024775089663916
8psk_10dB_3014.wav,8psk,10,0.1089187819901523,0.3300284563339233
8psk_10dB_4014.wav,8psk,10,0.10842872316241117,0.3292851699703635
8psk_10dB_5014.wav,8psk,10,0.10769912893016692,0.32817545449068386
8psk_10dB_6014.wav,8psk,10,0.10813280580477377,0.32883553002188465
8psk_10dB_7014.wav,8psk,10,0.10836250637683839,0.3291846083534867
8psk_10dB_8014.wav,8psk,10,0.10843810055538489,0.3292994086775512
8psk_13dB_2015.wav,8psk,13,0.09276596325993852,0.30457505357454756
8psk_13dB_3015.wav,8psk,13,0.09240283186153465,0.3039783411059654
8psk_13dB_4015.wav,8psk,13,0.09193389980610105,0.30320603524023243
8psk_13dB_5015.wav,8psk,13,0.09257719129409875,0.3042650017568546
8psk_13dB_6015.wav,8psk,13,0.09158732452918215,0.30263397781673845
8psk_13dB_7015.wav,8psk,13,0.09215751220888885,0.30357455790775495
8psk_13dB_8015.wav,8psk,13,0.09364724201597538,0.30601836875582383
8psk_15dB_2016.wav,8psk,15,0.08620181882486082,0.29360146257275493
8psk_15dB_3016.wav,8psk,15,0.08688578713225648,0.2947639515481099
8psk_15dB_4016.wav,8psk,15,0.08712637718066228,0.2951717757182456
8psk_15dB_5016.wav,8psk,15,0.08639591383224424,0.2939318183392949
8psk_15dB_6016.wav,8psk,15,0.08635380653122951,0.2938601819424154
8psk_15dB_7016.wav,8psk,15,0.086483466883821,0.29408071491313575
8psk_15dB_8016.wav,8psk,15,0.08705008961492429,0.2950425217064894
8psk_20dB_2017.wav,8psk,20,0.07849405268317665,0.28016790087941307
8psk_20dB_3017.wav,8psk,20,0.07867911004033377,0.28049796797897447
8psk_20dB_4017.wav,8psk,20,0.07780016231288385,0.2789268045794162
8psk_20dB_5017.wav,8psk,20,0.07855057731171844,0.28026875907192805
8psk_20dB_6017.wav,8psk,20,0.07841591534062665,0.28002841880892493
8psk_20dB_7017.wav,8psk,20,0.08080679062751253,0.2842653524921962
8psk_20dB_8017.wav,8psk,20,0.07908535832256723,0.28122119109798116
8psk_4dB_2012.wav,8psk,4,0.17577759836216092,0.4192583909263605
