file,coded,scrambled,ber,true_period,true_depth,true_width,status,confidence,method,got_period,got_depth,got_width,seconds,period_ok,interleaver_ok,generators_ok,outcome
conv_d8w12_ber0.001_scr1_1043.bits.npy,1,1,0.001,96,8,12,low_confidence,0.35,exact,96,0,0,12.5,1,0,0,declined
conv_d8w12_ber0.002_scr0_1008.bits.npy,1,0,0.002,96,8,12,low_confidence,0.35,exact,192,0,0,11.8,0,0,0,declined
conv_d8w12_ber0.002_scr1_1044.bits.npy,1,1,0.002,96,8,12,low_confidence,0.35,exact,192,0,0,10.4,0,0,0,declined
conv_d8w12_ber0.005_scr0_1009.bits.npy,1,0,0.005,96,8,12,failed,0.0,exact,0,0,0,9.8,0,0,0,declined
conv_d8w12_ber0.005_scr1_1045.bits.npy,1,1,0.005,96,8,12,failed,0.0,exact,0,0,0,9.7,0,0,0,declined
conv_d8w12_ber0.01_scr0_1010.bits.npy,1,0,0.01,96,8,12,failed,0.0,exact,0,0,0,9.6,0,0,0,declined
conv_d8w12_ber0.01_scr1_1046.bits.npy,1,1,0.01,96,8,12,failed,0.0,exact,0,0,0,9.8,0,0,0,declined
conv_d8w12_ber0.02_scr0_1011.bits.npy,1,0,0.02,96,8,12,failed,0.0,exact,0,0,0,9.7,0,0,0,declined
conv_d8w12_ber0.02_scr1_1047.bits.npy,1,1,0.02,96,8,12,failed,0.0,exact,0,0,0,9.5,0,0,0,declined
conv_d8w12_ber0.0_scr0_1006.bits.npy,1,0,0.0,96,8,12,ok,0.95,exact,96,8,12,0.3,1,1,1,full recovery
conv_d8w12_ber0.0_scr1_1042.bits.npy,1,1,0.0,96,8,12,low_confidence,0.35,exact,96,0,0,11.7,1,0,0,declined
conv_d8w16_ber0.001_scr0_1019.bits.npy,1,0,0.001,128,8,16,low_confidence,0.35,exact,128,0,0,10.6,1,0,0,declined
conv_d8w16_ber0.001_scr1_1055.bits.npy,1,1,0.001,128,8,16,low_confidence,0.35,exact,256,0,0,10.5,0,0,0,declined
conv_d8w16_ber0.002_scr0_1020.bits.npy,1,0,0.002,128,8,16,low_confidence,0.35,exact,128,0,0,10.9,1,0,0,declined
conv_d8w16_ber0.002_scr1_1056.bits.npy,1,1,0.002,128,8,16,low_confidence,0.35,exact,256,0,0,10.8,0,0,0,declined
conv_d8w16_ber0.005_scr0_1021.bits.npy,1,0,0.005,128,8,16,failed,0.0,exact,0,0,0,9.6,0,0,0,declined
conv_d8w16_ber0.005_scr1_1057.bits.npy,1,1,0.005,128,8,16,failed,0.0,exact,0,0,0,9.7,0,0,0,declined
conv_d8w16_ber0.01_scr0_1022.bits.npy,1,0,0.01,128,8,16,failed,0.0,exact,0,0,0,9.8,0,0,0,declined
conv_d8w16_ber0.01_scr1_1058.bits.npy,1,1,0.01,128,8,16,failed,0.0,exact,0,0,0,9.5,0,0,0,declined
conv_d8w16_ber0.02_scr0_1023.bits.npy,1,0,0.02,128,8,16,failed,0.0,exact,0,0,0,9.4,0,0,0,declined
conv_d8w16_ber0.02_scr1_1059.bits.npy,1,1,0.02,128,8,16,failed,0.0,exact,0,0,0,9.8,0,0,0,declined
conv_d8w16_ber0.0_scr0_1018.bits.npy,1,0,0.0,128,8,16,ok,0.95,exact,128,8,16,0.4,1,1,1,full recovery
conv_d8w16_ber0.0_scr1_1054.bits.npy,1,1,0.0,128,8,16,low_confidence,0.35,exact,128,0,0,11.0,1,0,0,declined
uncoded_random_999.bits.npy,0,0,0.0,0,0,0,failed,0.0,exact,0,0,0,9.7,0,0,0,declined
