case,seed,path,plugin,declared_fs,raised,status,modulation,chain_runs,n_llrs,finite,rate_used,ber,secs,trace
control: clean qpsk,7,plug-in,qpsk,200000.0,,ok,qpsk,,,True,,,1.4421208002604544,
control: clean qpsk,7,plug-in,8psk,200000.0,,low_confidence,8psk,,,True,,,1.6322654001414776,
control: clean qpsk,7,plug-in,16qam,200000.0,,low_confidence,16qam,,,True,,,1.496540800202638,
control: clean qpsk,7,plug-in,2fsk,200000.0,,low_confidence,2fsk,,,True,,,0.08052449999377131,
control: clean qpsk,7,plug-in,4fsk,200000.0,,low_confidence,4fsk,,,True,,,0.10767930001020432,
pure noise,0,blind search,,200000.0,,failed,,0,0,,,,0.17327600019052625,
pure noise,0,plug-in,bpsk,200000.0,,failed,bpsk,,,True,,,0.009048200212419033,
pure noise,0,plug-in,qpsk,200000.0,,failed,qpsk,,,True,,,0.009966100100427866,
pure noise,0,plug-in,8psk,200000.0,,failed,8psk,,,True,,,0.010683400090783834,
pure noise,0,plug-in,16qam,200000.0,,failed,16qam,,,True,,,0.011376900132745504,
pure noise,0,plug-in,2fsk,200000.0,,failed,2fsk,,,True,,,0.031035900115966797,
pure noise,0,plug-in,4fsk,200000.0,,failed,4fsk,,,True,,,0.029283400159329176,
pure noise,1,blind search,,200000.0,,failed,2fsk,2,0,,58953.85742187499,,0.23350619990378618,
pure noise,1,plug-in,bpsk,200000.0,,failed,bpsk,,,True,,,0.009467700030654669,
pure noise,1,plug-in,qpsk,200000.0,,failed,qpsk,,,True,,,0.008141499944031239,
pure noise,1,plug-in,8psk,200000.0,,failed,8psk,,,True,,,0.01055660005658865,
pure noise,1,plug-in,16qam,200000.0,,failed,16qam,,,True,,,0.008918900042772293,
pure noise,1,plug-in,2fsk,200000.0,,failed,2fsk,,,True,,,0.028948199935257435,
pure noise,1,plug-in,4fsk,200000.0,,failed,4fsk,,,True,,,0.028395799919962883,
pure noise,2,blind search,,200000.0,,failed,,0,0,,,,0.1575482003390789,
pure noise,2,plug-in,bpsk,200000.0,,failed,bpsk,,,True,,,0.010793900117278099,
pure noise,2,plug-in,qpsk,200000.0,,failed,qpsk,,,True,,,0.009074199944734573,
pure noise,2,plug-in,8psk,200000.0,,failed,8psk,,,True,,,0.008662300184369087,
pure noise,2,plug-in,16qam,200000.0,,failed,16qam,,,True,,,0.009298999793827534,
pure noise,2,plug-in,2fsk,200000.0,,failed,2fsk,,,True,,,0.028174299746751785,
pure noise,2,plug-in,4fsk,200000.0,,failed,4fsk,,,True,,,0.029438999947160482,
pure noise,3,blind search,,200000.0,,failed,,0,0,,,,0.1442199000157416,
pure noise,3,plug-in,bpsk,200000.0,,failed,bpsk,,,True,,,0.009142799768596888,
pure noise,3,plug-in,qpsk,200000.0,,failed,qpsk,,,True,,,0.008717499673366547,
pure noise,3,plug-in,8psk,200000.0,,failed,8psk,,,True,,,0.010780399665236473,
pure noise,3,plug-in,16qam,200000.0,,failed,16qam,,,True,,,0.007851300295442343,
pure noise,3,plug-in,2fsk,200000.0,,failed,2fsk,,,True,,,0.03008829988539219,
pure noise,3,plug-in,4fsk,200000.0,,failed,4fsk,,,True,,,0.029819400049746037,
pure noise,4,blind search,,200000.0,,failed,,0,0,,,,0.14399340003728867,
pure noise,4,plug-in,bpsk,200000.0,,failed,bpsk,,,True,,,0.0081389001570642,
pure noise,4,plug-in,qpsk,200000.0,,failed,qpsk,,,True,,,0.007949000224471092,
pure noise,4,plug-in,8psk,200000.0,,failed,8psk,,,True,,,0.007928399834781885,
pure noise,4,plug-in,16qam,200000.0,,failed,16qam,,,True,,,0.007685000076889992,
pure noise,4,plug-in,2fsk,200000.0,,failed,2fsk,,,True,,,0.02980450028553605,
pure noise,4,plug-in,4fsk,200000.0,,failed,4fsk,,,True,,,0.03192840004339814,
pure noise,5,blind search,,200000.0,,failed,,0,0,,,,0.15020629996433854,
pure noise,5,plug-in,bpsk,200000.0,,failed,bpsk,,,True,,,0.008396599907428026,
pure noise,5,plug-in,qpsk,200000.0,,failed,qpsk,,,True,,,0.00883609987795353,
pure noise,5,plug-in,8psk,200000.0,,failed,8psk,,,True,,,0.00784119963645935,
pure noise,5,plug-in,16qam,200000.0,,failed,16qam,,,True,,,0.009321100078523159,
pure noise,5,plug-in,2fsk,200000.0,,failed,2fsk,,,True,,,0.029662000015378,
pure noise,5,plug-in,4fsk,200000.0,,failed,4fsk,,,True,,,0.030226800125092268,
pure noise,6,blind search,,200000.0,,failed,,0,0,,,,0.1508144000545144,
pure noise,6,plug-in,bpsk,200000.0,,failed,bpsk,,,True,,,0.010609300341457129,
pure noise,6,plug-in,qpsk,200000.0,,failed,qpsk,,,True,,,0.009561799932271242,
pure noise,6,plug-in,8psk,200000.0,,failed,8psk,,,True,,,0.007711499929428101,
pure noise,6,plug-in,16qam,200000.0,,failed,16qam,,,True,,,0.008080500178039074,
pure noise,6,plug-in,2fsk,200000.0,,failed,2fsk,,,True,,,0.027498099952936172,
pure noise,6,plug-in,4fsk,200000.0,,failed,4fsk,,,True,,,0.028019099961966276,
pure noise,7,blind search,,200000.0,,failed,,0,0,,,,0.14650889998301864,
pure noise,7,plug-in,bpsk,200000.0,,failed,bpsk,,,True,,,0.007612300105392933,
pure noise,7,plug-in,qpsk,200000.0,,failed,qpsk,,,True,,,0.008885500021278858,
pure noise,7,plug-in,8psk,200000.0,,failed,8psk,,,True,,,0.007189699914306402,
pure noise,7,plug-in,16qam,200000.0,,failed,16qam,,,True,,,0.008504599798470736,
pure noise,7,plug-in,2fsk,200000.0,,failed,2fsk,,,True,,,0.041862200014293194,
pure noise,7,plug-in,4fsk,200000.0,,failed,4fsk,,,True,,,0.03144369972869754,
DC only,0,blind search,,200000.0,,failed,,0,0,,,,0.042282599955797195,
DC only,0,plug-in,bpsk,200000.0,,failed,bpsk,,,True,,,0.0012426003813743591,
DC only,0,plug-in,qpsk,200000.0,,failed,qpsk,,,True,,,0.0012146998196840286,
DC only,0,plug-in,8psk,200000.0,,failed,8psk,,,True,,,0.0011968999169766903,
DC only,0,plug-in,16qam,200000.0,,failed,16qam,,,True,,,0.0012052999809384346,
DC only,0,plug-in,2fsk,200000.0,,failed,2fsk,,,True,,,0.01226879982277751,
DC only,0,plug-in,4fsk,200000.0,,failed,4fsk,,,True,,,0.011472799815237522,
DC only,1,blind search,,200000.0,,failed,,0,0,,,,0.049246199894696474,
DC only,1,plug-in,bpsk,200000.0,,failed,bpsk,,,True,,,0.0012284000404179096,
DC only,1,plug-in,qpsk,200000.0,,failed,qpsk,,,True,,,0.0011950000189244747,
DC only,1,plug-in,8psk,200000.0,,failed,8psk,,,True,,,0.0011857002973556519,
DC only,1,plug-in,16qam,200000.0,,failed,16qam,,,True,,,0.0012083998881280422,
DC only,1,plug-in,2fsk,200000.0,,failed,2fsk,,,True,,,0.012449600268155336,
DC only,1,plug-in,4fsk,200000.0,,failed,4fsk,,,True,,,0.012140700127929449,
DC only,2,blind search,,200000.0,,failed,,0,0,,,,0.046236499678343534,
DC only,2,plug-in,bpsk,200000.0,,failed,bpsk,,,True,,,0.0012470996007323265,
DC only,2,plug-in,qpsk,200000.0,,failed,qpsk,,,True,,,0.001209399662911892,
DC only,2,plug-in,8psk,200000.0,,failed,8psk,,,True,,,0.001199700403958559,
DC only,2,plug-in,16qam,200000.0,,failed,16qam,,,True,,,0.0012423000298440456,
DC only,2,plug-in,2fsk,200000.0,,failed,2fsk,,,True,,,0.010618200059980154,
DC only,2,plug-in,4fsk,200000.0,,failed,4fsk,,,True,,,0.013826299924403429,
DC only,3,blind search,,200000.0,,failed,,0,0,,,,0.04751710034906864,
DC only,3,plug-in,bpsk,200000.0,,failed,bpsk,,,True,,,0.001247200183570385,
DC only,3,plug-in,qpsk,200000.0,,failed,qpsk,,,True,,,0.0012017996050417423,
DC only,3,plug-in,8psk,200000.0,,failed,8psk,,,True,,,0.0012126998044550419,
DC only,3,plug-in,16qam,200000.0,,failed,16qam,,,True,,,0.0012284000404179096,
DC only,3,plug-in,2fsk,200000.0,,failed,2fsk,,,True,,,0.011746299918740988,
DC only,3,plug-in,4fsk,200000.0,,failed,4fsk,,,True,,,0.011806900147348642,
DC only,4,blind search,,200000.0,,failed,,0,0,,,,0.0458918996155262,
DC only,4,plug-in,bpsk,200000.0,,failed,bpsk,,,True,,,0.0012290999293327332,
DC only,4,plug-in,qpsk,200000.0,,failed,qpsk,,,True,,,0.0012234998866915703,
DC only,4,plug-in,8psk,200000.0,,failed,8psk,,,True,,,0.0012179999612271786,
DC only,4,plug-in,16qam,200000.0,,failed,16qam,,,True,,,0.001199099700897932,
DC only,4,plug-in,2fsk,200000.0,,failed,2fsk,,,True,,,0.012169700115919113,
DC only,4,plug-in,4fsk,200000.0,,failed,4fsk,,,True,,,0.011996099725365639,
DC only,5,blind search,,200000.0,,failed,,0,0,,,,0.0520024998113513,
DC only,5,plug-in,bpsk,200000.0,,failed,bpsk,,,True,,,0.0012297001667320728,
DC only,5,plug-in,qpsk,200000.0,,failed,qpsk,,,True,,,0.0012122001498937607,
DC only,5,plug-in,8psk,200000.0,,failed,8psk,,,True,,,0.001209300011396408,
DC only,5,plug-in,16qam,200000.0,,failed,16qam,,,True,,,0.0012060999870300293,
DC only,5,plug-in,2fsk,200000.0,,failed,2fsk,,,True,,,0.012132999952882528,
DC only,5,plug-in,4fsk,200000.0,,failed,4fsk,,,True,,,0.010819599963724613,
DC only,6,blind search,,200000.0,,failed,,0,0,,,,0.04681520024314523,
DC only,6,plug-in,bpsk,200000.0,,failed,bpsk,,,True,,,0.001253499649465084,
DC only,6,plug-in,qpsk,200000.0,,failed,qpsk,,,True,,,0.0011950996704399586,
DC only,6,plug-in,8psk,200000.0,,failed,8psk,,,True,,,0.0012664999812841415,
DC only,6,plug-in,16qam,200000.0,,failed,16qam,,,True,,,0.001271700020879507,
DC only,6,plug-in,2fsk,200000.0,,failed,2fsk,,,True,,,0.010306799784302711,
DC only,6,plug-in,4fsk,200000.0,,failed,4fsk,,,True,,,0.013984799850732088,
DC only,7,blind search,,200000.0,,failed,,0,0,,,,0.0455404999665916,
DC only,7,plug-in,bpsk,200000.0,,failed,bpsk,,,True,,,0.001233699731528759,
DC only,7,plug-in,qpsk,200000.0,,failed,qpsk,,,True,,,0.001205699983984232,
DC only,7,plug-in,8psk,200000.0,,failed,8psk,,,True,,,0.0013946001417934895,
DC only,7,plug-in,16qam,200000.0,,failed,16qam,,,True,,,0.0013123000971972942,
DC only,7,plug-in,2fsk,200000.0,,failed,2fsk,,,True,,,0.011420800350606441,
DC only,7,plug-in,4fsk,200000.0,,failed,4fsk,,,True,,,0.011630400083959103,
empty band,0,blind search,,200000.0,,low_confidence,16qam,12,23036,True,12514.92279289807,,2.5043383999727666,
empty band,0,plug-in,bpsk,200000.0,,failed,bpsk,,,True,,,0.00910780020058155,
empty band,0,plug-in,qpsk,200000.0,,failed,qpsk,,,True,,,0.007663600146770477,
empty band,0,plug-in,8psk,200000.0,,failed,8psk,,,True,,,0.00748169980943203,
empty band,0,plug-in,16qam,200000.0,,failed,16qam,,,True,,,0.00857389997690916,
empty band,0,plug-in,2fsk,200000.0,,failed,2fsk,,,True,,,0.029263700358569622,
empty band,0,plug-in,4fsk,200000.0,,failed,4fsk,,,True,,,0.032752899918705225,
empty band,1,blind search,,200000.0,,failed,,0,0,,,,0.14620199985802174,
empty band,1,plug-in,bpsk,200000.0,,failed,bpsk,,,True,,,0.00802650023251772,
empty band,1,plug-in,qpsk,200000.0,,failed,qpsk,,,True,,,0.009112199768424034,
empty band,1,plug-in,8psk,200000.0,,failed,8psk,,,True,,,0.008268100209534168,
empty band,1,plug-in,16qam,200000.0,,failed,16qam,,,True,,,0.008677899837493896,
empty band,1,plug-in,2fsk,200000.0,,failed,2fsk,,,True,,,0.027588999830186367,
empty band,1,plug-in,4fsk,200000.0,,failed,4fsk,,,True,,,0.02961650025099516,
empty band,2,blind search,,200000.0,,failed,,0,0,,,,0.1452314998023212,
empty band,2,plug-in,bpsk,200000.0,,failed,bpsk,,,True,,,0.00825399998575449,
empty band,2,plug-in,qpsk,200000.0,,failed,qpsk,,,True,,,0.007737999781966209,
empty band,2,plug-in,8psk,200000.0,,failed,8psk,,,True,,,0.008718399796634912,
