kind,file,true_mod,true_family,snr_db,family_asked,proposed_rate,true_rate,rel_error,score,screen
corpus,16qam_20dB_8023,16qam,psk,20.0,psk,50000.0,50000.0,0.0,55.361,pass
corpus,16qam_20dB_8023,16qam,psk,20.0,fsk,50000.0,50000.0,0.0,28.901,pass
corpus,16qam_4dB_2018,16qam,psk,4.0,psk,50000.0,50000.0,0.0,20.224,pass
corpus,16qam_4dB_2018,16qam,psk,4.0,fsk,11254.88,50000.0,0.774902,3.812,fail
corpus,16qam_4dB_3018,16qam,psk,4.0,psk,50000.0,50000.0,0.0,20.528,pass
corpus,16qam_4dB_3018,16qam,psk,4.0,fsk,50000.0,50000.0,0.0,6.354,unknown
corpus,16qam_4dB_4018,16qam,psk,4.0,psk,50000.0,50000.0,0.0,23.4,pass
corpus,16qam_4dB_4018,16qam,psk,4.0,fsk,50000.0,50000.0,0.0,5.314,unknown
corpus,16qam_4dB_5018,16qam,psk,4.0,psk,50000.0,50000.0,0.0,19.85,pass
corpus,16qam_4dB_5018,16qam,psk,4.0,fsk,50000.0,50000.0,0.0,5.776,unknown
corpus,16qam_4dB_6018,16qam,psk,4.0,psk,50000.0,50000.0,0.0,21.537,pass
corpus,16qam_4dB_6018,16qam,psk,4.0,fsk,50000.0,50000.0,0.0,5.675,unknown
corpus,16qam_4dB_7018,16qam,psk,4.0,psk,50000.0,50000.0,0.0,19.694,pass
corpus,16qam_4dB_7018,16qam,psk,4.0,fsk,7897.95,50000.0,0.842041,3.81,fail
corpus,16qam_4dB_8018,16qam,psk,4.0,psk,50000.0,50000.0,0.0,22.424,pass
corpus,16qam_4dB_8018,16qam,psk,4.0,fsk,50000.0,50000.0,0.0,5.863,unknown
corpus,16qam_8dB_2019,16qam,psk,8.0,psk,50000.0,50000.0,0.0,30.925,pass
corpus,16qam_8dB_2019,16qam,psk,8.0,fsk,50000.0,50000.0,0.0,10.487,pass
corpus,16qam_8dB_3019,16qam,psk,8.0,psk,50000.0,50000.0,0.0,33.099,pass
corpus,16qam_8dB_3019,16qam,psk,8.0,fsk,50000.0,50000.0,0.0,9.061,pass
corpus,16qam_8dB_4019,16qam,psk,8.0,psk,50000.0,50000.0,0.0,28.447,pass
corpus,16qam_8dB_4019,16qam,psk,8.0,fsk,50000.0,50000.0,0.0,10.197,pass
corpus,16qam_8dB_5019,16qam,psk,8.0,psk,50000.0,50000.0,0.0,31.447,pass
corpus,16qam_8dB_5019,16qam,psk,8.0,fsk,50000.0,50000.0,0.0,8.657,pass
corpus,16qam_8dB_6019,16qam,psk,8.0,psk,50000.0,50000.0,0.0,31.651,pass
corpus,16qam_8dB_6019,16qam,psk,8.0,fsk,50000.0,50000.0,0.0,9.988,pass
corpus,16qam_8dB_7019,16qam,psk,8.0,psk,50000.0,50000.0,0.0,30.974,pass
corpus,16qam_8dB_7019,16qam,psk,8.0,fsk,50000.0,50000.0,0.0,9.634,pass
corpus,16qam_8dB_8019,16qam,psk,8.0,psk,50000.0,50000.0,0.0,32.64,pass
corpus,16qam_8dB_8019,16qam,psk,8.0,fsk,50000.0,50000.0,0.0,10.598,pass
corpus,2fsk_10dB_2026,2fsk,fsk,10.0,psk,37351.23,50000.0,0.252975,4.218,fail
corpus,2fsk_10dB_2026,2fsk,fsk,10.0,fsk,50000.0,50000.0,0.0,142.397,pass
corpus,2fsk_10dB_3026,2fsk,fsk,10.0,psk,43601.23,50000.0,0.127975,4.555,unknown
corpus,2fsk_10dB_3026,2fsk,fsk,10.0,fsk,50000.0,50000.0,0.0,140.371,pass
corpus,2fsk_10dB_4026,2fsk,fsk,10.0,psk,35065.46,50000.0,0.298691,4.159,fail
corpus,2fsk_10dB_4026,2fsk,fsk,10.0,fsk,50000.0,50000.0,0.0,149.073,pass
corpus,2fsk_10dB_5026,2fsk,fsk,10.0,psk,25255.58,50000.0,0.494888,3.816,fail
corpus,2fsk_10dB_5026,2fsk,fsk,10.0,fsk,50000.0,50000.0,0.0,142.704,pass
corpus,2fsk_10dB_6026,2fsk,fsk,10.0,psk,49592.59,50000.0,0.008148,4.46,fail
corpus,2fsk_10dB_6026,2fsk,fsk,10.0,fsk,50000.0,50000.0,0.0,143.988,pass
corpus,2fsk_10dB_7026,2fsk,fsk,10.0,psk,2402.5,50000.0,0.95195,3.964,fail
corpus,2fsk_10dB_7026,2fsk,fsk,10.0,fsk,50000.0,50000.0,0.0,145.014,pass
corpus,2fsk_10dB_8026,2fsk,fsk,10.0,psk,70326.23,50000.0,0.406525,4.012,fail
corpus,2fsk_10dB_8026,2fsk,fsk,10.0,fsk,50000.0,50000.0,0.0,144.668,pass
corpus,2fsk_13dB_2027,2fsk,fsk,13.0,psk,79713.44,50000.0,0.594269,3.908,fail
corpus,2fsk_13dB_2027,2fsk,fsk,13.0,fsk,50000.0,50000.0,0.0,171.19,pass
corpus,2fsk_13dB_3027,2fsk,fsk,13.0,psk,46393.59,50000.0,0.072128,4.058,fail
corpus,2fsk_13dB_3027,2fsk,fsk,13.0,fsk,50000.0,50000.0,0.0,169.59,pass
corpus,2fsk_13dB_4027,2fsk,fsk,13.0,psk,48769.38,50000.0,0.024612,4.073,fail
corpus,2fsk_13dB_4027,2fsk,fsk,13.0,fsk,50000.0,50000.0,0.0,177.512,pass
corpus,2fsk_13dB_5027,2fsk,fsk,13.0,psk,74243.93,50000.0,0.484879,4.095,fail
corpus,2fsk_13dB_5027,2fsk,fsk,13.0,fsk,50000.0,50000.0,0.0,168.492,pass
corpus,2fsk_13dB_6027,2fsk,fsk,13.0,psk,42045.59,50000.0,0.159088,4.356,fail
corpus,2fsk_13dB_6027,2fsk,fsk,13.0,fsk,50000.0,50000.0,0.0,173.163,pass
corpus,2fsk_13dB_7027,2fsk,fsk,13.0,psk,18239.59,50000.0,0.635208,4.216,fail
corpus,2fsk_13dB_7027,2fsk,fsk,13.0,fsk,50000.0,50000.0,0.0,164.837,pass
corpus,2fsk_13dB_8027,2fsk,fsk,13.0,psk,74922.94,50000.0,0.498459,4.331,fail
corpus,2fsk_13dB_8027,2fsk,fsk,13.0,fsk,50000.0,50000.0,0.0,176.867,pass
corpus,2fsk_15dB_2028,2fsk,fsk,15.0,psk,36133.58,50000.0,0.277328,4.247,fail
corpus,2fsk_15dB_2028,2fsk,fsk,15.0,fsk,50000.0,50000.0,0.0,173.313,pass
corpus,2fsk_15dB_3028,2fsk,fsk,15.0,psk,6100.46,50000.0,0.877991,4.179,fail
corpus,2fsk_15dB_3028,2fsk,fsk,15.0,fsk,50000.0,50000.0,0.0,183.754,pass
corpus,2fsk_15dB_4028,2fsk,fsk,15.0,psk,66139.22,50000.0,0.322784,4.307,fail
corpus,2fsk_15dB_4028,2fsk,fsk,15.0,fsk,50000.0,50000.0,0.0,186.602,pass
corpus,2fsk_15dB_5028,2fsk,fsk,15.0,psk,15753.94,50000.0,0.684921,4.487,fail
corpus,2fsk_15dB_5028,2fsk,fsk,15.0,fsk,50000.0,50000.0,0.0,182.316,pass
corpus,2fsk_15dB_6028,2fsk,fsk,15.0,psk,6354.52,50000.0,0.87291,3.923,fail
corpus,2fsk_15dB_6028,2fsk,fsk,15.0,fsk,50000.0,50000.0,0.0,184.787,pass
corpus,2fsk_15dB_7028,2fsk,fsk,15.0,psk,32450.1,50000.0,0.350998,4.114,fail
corpus,2fsk_15dB_7028,2fsk,fsk,15.0,fsk,50000.0,50000.0,0.0,177.192,pass
corpus,2fsk_15dB_8028,2fsk,fsk,15.0,psk,68205.26,50000.0,0.364105,3.976,fail
corpus,2fsk_15dB_8028,2fsk,fsk,15.0,fsk,50000.0,50000.0,0.0,181.862,pass
corpus,2fsk_20dB_2029,2fsk,fsk,20.0,psk,12069.7,50000.0,0.758606,4.326,fail
corpus,2fsk_20dB_2029,2fsk,fsk,20.0,fsk,50000.0,50000.0,0.0,185.261,pass
corpus,2fsk_20dB_3029,2fsk,fsk,20.0,psk,36701.97,50000.0,0.265961,4.233,fail
corpus,2fsk_20dB_3029,2fsk,fsk,20.0,fsk,50000.0,50000.0,0.0,189.217,pass
corpus,2fsk_20dB_4029,2fsk,fsk,20.0,psk,25951.39,50000.0,0.480972,3.899,fail
corpus,2fsk_20dB_4029,2fsk,fsk,20.0,fsk,50000.0,50000.0,0.0,195.036,pass
corpus,2fsk_20dB_5029,2fsk,fsk,20.0,psk,23551.18,50000.0,0.528976,4.333,fail
corpus,2fsk_20dB_5029,2fsk,fsk,20.0,fsk,50000.0,50000.0,0.0,194.715,pass
corpus,2fsk_20dB_6029,2fsk,fsk,20.0,psk,43036.65,50000.0,0.139267,4.048,fail
corpus,2fsk_20dB_6029,2fsk,fsk,20.0,fsk,50000.0,50000.0,0.0,196.856,pass
corpus,2fsk_20dB_7029,2fsk,fsk,20.0,psk,58845.52,50000.0,0.17691,4.005,fail
corpus,2fsk_20dB_7029,2fsk,fsk,20.0,fsk,50000.0,50000.0,0.0,187.314,pass
corpus,2fsk_20dB_8029,2fsk,fsk,20.0,psk,69175.72,50000.0,0.383514,4.122,fail
corpus,2fsk_20dB_8029,2fsk,fsk,20.0,fsk,50000.0,50000.0,0.0,195.958,pass
corpus,2fsk_4dB_2024,2fsk,fsk,4.0,psk,48479.46,50000.0,0.030411,4.41,fail
corpus,2fsk_4dB_2024,2fsk,fsk,4.0,fsk,50000.0,50000.0,0.0,45.243,pass
corpus,2fsk_4dB_3024,2fsk,fsk,4.0,psk,14914.7,50000.0,0.701706,4.357,fail
corpus,2fsk_4dB_3024,2fsk,fsk,4.0,fsk,50000.0,50000.0,0.0,48.77,pass
corpus,2fsk_4dB_4024,2fsk,fsk,4.0,psk,47409.06,50000.0,0.051819,4.773,unknown
corpus,2fsk_4dB_4024,2fsk,fsk,4.0,fsk,50000.0,50000.0,0.0,47.49,pass
corpus,2fsk_4dB_5024,2fsk,fsk,4.0,psk,43215.94,50000.0,0.135681,4.512,unknown
corpus,2fsk_4dB_5024,2fsk,fsk,4.0,fsk,50000.0,50000.0,0.0,47.556,pass
corpus,2fsk_4dB_6024,2fsk,fsk,4.0,psk,51061.25,50000.0,0.021225,4.346,fail
corpus,2fsk_4dB_6024,2fsk,fsk,4.0,fsk,50000.0,50000.0,0.0,47.658,pass
corpus,2fsk_4dB_7024,2fsk,fsk,4.0,psk,45265.2,50000.0,0.094696,3.772,fail
corpus,2fsk_4dB_7024,2fsk,fsk,4.0,fsk,50000.0,50000.0,0.0,50.175,pass
corpus,2fsk_4dB_8024,2fsk,fsk,4.0,psk,72516.63,50000.0,0.450333,4.725,unknown
corpus,2fsk_4dB_8024,2fsk,fsk,4.0,fsk,50000.0,50000.0,0.0,46.376,pass
corpus,2fsk_8dB_2025,2fsk,fsk,8.0,psk,11986.54,50000.0,0.760269,3.879,fail
corpus,2fsk_8dB_2025,2fsk,fsk,8.0,fsk,50000.0,50000.0,0.0,113.585,pass
corpus,2fsk_8dB_3025,2fsk,fsk,8.0,psk,41822.05,50000.0,0.163559,4.299,fail
corpus,2fsk_8dB_3025,2fsk,fsk,8.0,fsk,50000.0,50000.0,0.0,113.787,pass
corpus,2fsk_8dB_4025,2fsk,fsk,8.0,psk,20363.62,50000.0,0.592728,4.725,unknown
corpus,2fsk_8dB_4025,2fsk,fsk,8.0,fsk,50000.0,50000.0,0.0,114.83,pass
corpus,2fsk_8dB_5025,2fsk,fsk,8.0,psk,45043.18,50000.0,0.099136,4.208,fail
